app_id,name,genre,developer,price_usd,faixa_preco,approval_rate,avg_playtime_h,total_reviews,ivs,ivs_score,tags
1069740,Seen,Indie,Seen Games,0.49,Ate R$15,0.914180252230083,0.0,9753,7.4425,100.0,
1293230,House of Detention,Indie,"Aniki, Male Union ♂",0.49,Ate R$15,0.9192071403732468,0.0,8627,7.3835,99.2,
2306590,Apewar,Casual,Radatomic Studios,0.49,Ate R$15,0.9390573828848071,0.0,7023,7.3718,99.0,
1070330,Russian Life Simulator,Indie,GosDev Production,0.49,Ate R$15,0.8880020271126314,0.0,7893,7.0629,94.9,
1208260,Hentai Vs Furries,Casual,SeedWall,0.49,Ate R$15,0.887284396309667,0.0,4986,6.696,90.0,
628750,aMAZE 2,Casual,Blender Games,0.37,Ate R$15,0.8569570871261378,0.0,769,6.6854,89.8,
2313240,Travellin Cats in Italy,Casual,Travellin Cats,0.49,Ate R$15,0.9762731481481481,0.0,1728,6.451,86.7,
1578220,Mister Furry: Hot Muscles,Casual,"Red Six Development, Male Union",0.49,Ate R$15,0.9231759656652361,0.0,2330,6.3446,85.2,
1334000,Wordle,Casual,PreoNus Games,0.38,Ate R$15,0.8485342019543974,0.0,614,6.2275,83.7,
2356500,Travellin Cats in Bali,Casual,Travellin Cats,0.49,Ate R$15,0.9866888519134775,0.0,1202,6.2026,83.3,
438480,Rock 'N' Roll Defense,Casual,NukGames,0.49,Ate R$15,0.8661072601240423,0.0,2741,6.077,81.6,
939620,Pleasure Puzzle:Portrait 趣拼拼：肖像画,Casual,冷笑黑妖,0.49,Ate R$15,0.906688241639698,0.0,1854,6.0477,81.2,
2181930,DR LIVESEY ROM AND DEATH EDITION,Indie,Agafonoff,0.65,Ate R$15,0.9451859628074385,0.0,13336,5.9984,80.6,
630060,寇莎梅特：困世迷情 Consummate:Missing World,Indie,冷笑黑妖,0.49,Ate R$15,0.9474959612277868,0.0,1238,5.981,80.3,
487700,Conan the mighty pig,Indie,Mihai Morosanu,0.49,Ate R$15,0.9118264520643807,0.0,1429,5.8717,78.9,
743640,Achievement Clicker,Casual,OfficialAndy,0.49,Ate R$15,0.8234916559691913,0.0,3116,5.8716,78.9,
539720,Razortron 2000,Casual,NukGames,0.49,Ate R$15,0.8528117359413203,0.0,2045,5.7624,77.4,
562360,"Planes, Bullets and Vodka",Casual,NukGames,0.49,Ate R$15,0.8515546639919759,0.0,1994,5.7349,77.0,
1168660,Barro 2020,Casual,SC Jogos,0.49,Ate R$15,0.8565121412803532,0.0,1812,5.6956,76.5,
636150,Cyberhunt,Casual,NukGames,0.49,Ate R$15,0.8329907502569374,0.0,1946,5.5919,75.1,
2608040,Travellin Cats in China,Casual,Travellin Cats,0.49,Ate R$15,0.9820261437908496,0.0,612,5.5864,75.0,
476240,KNIGHTS,Casual,Arzola's,0.49,Ate R$15,0.9388535031847134,0.0,785,5.5477,74.5,
395170,DISTRAINT: Deluxe Edition,Casual,Jesse Makkonen,0.69,Ate R$15,0.9318738768175134,0.0,12242,5.5209,74.1,
377600,Tcheco in the Castle of Lucio,Indie,Marcelo Barbosa,0.49,Ate R$15,0.8998998998998999,0.0,999,5.5096,74.0,
2485180,Travellin Cats in Georgia,Casual,Travellin Cats,0.49,Ate R$15,0.9281914893617021,0.0,752,5.4494,73.2,
733990,I Can't Believe It's Not Gambling,Casual,Mutant Entertainment Studios,0.54,Ate R$15,0.9145820622330689,0.0,1639,5.4449,73.1,
1184160,RUSSIAPHOBIA,Casual,European Flameworms,0.49,Ate R$15,0.6870578443612152,0.0,7209,5.4094,72.6,
684680,Polygoneer,Casual,NukGames,0.49,Ate R$15,0.7926682692307693,0.0,1664,5.2113,70.0,
1140440,OMON Simulator,Indie,"Ukrainian Bears, Hideo Milos",0.49,Ate R$15,0.7307944845699278,0.0,3046,5.1959,69.8,
776340,Gay World,Casual,"Nikita ""Ghost_RUS""",0.49,Ate R$15,0.8250564334085779,0.0,886,4.9637,66.6,
401190,Dinosaur Hunt,Indie,Racing Bros,0.49,Ate R$15,0.6692647440893739,0.0,3849,4.8972,65.8,
303390,Dead Bits,Casual,Microblast Games,0.49,Ate R$15,0.6013568838460639,0.0,8549,4.8255,64.8,
730,Counter-Strike: Global Offensive,Action,Valve,0.0,Gratuito,0.8669323399757711,0.0,8815087,4.8168,64.7,"FPS, Shooter, Multiplayer, Competitive, Action"
412880,Drift Streets Japan,Indie,JDM4iK Games,0.49,Ate R$15,0.6460471567267684,0.0,3605,4.6898,63.0,
963330,Nya Nya Nya Girls (ʻʻʻ)_(=^･ω･^=)_(ʻʻʻ),Casual,Zloy Krot Studio,0.49,Ate R$15,0.8228980322003577,0.0,559,4.6153,62.0,
967250,DOKA 2 KISHKI EDITION,Casual,Agafonoff,0.65,Ate R$15,0.84,0.0,3575,4.5921,61.6,
394870,Office Battle,Indie,Black Lime Studio,0.49,Ate R$15,0.7465681098204857,0.0,947,4.5355,60.9,
485450,Ninja Stealth,Casual,SC Jogos,0.49,Ate R$15,0.6872378669862192,0.0,1669,4.5199,60.7,
1060310,Great Toilet Simulator,Indie,Kiddy,0.49,Ate R$15,0.8158914728682171,0.0,516,4.5182,60.7,
754120,Ninja Stealth 3,Casual,SC Jogos,0.49,Ate R$15,0.8007968127490039,0.0,502,4.4151,59.3,
271590,Grand Theft Auto V Legacy,Adventure,Rockstar North,0.0,Gratuito,0.8741175832280026,0.0,1990556,4.4048,59.1,
963690,Hentai Girl Hime,Casual,GirlGames,0.69,Ate R$15,0.9271343121261555,0.0,1839,4.3868,58.9,
434570,Blood and Bacon,Casual,Big Corporation,0.99,Ate R$15,0.9525690551569898,0.0,34429,4.3654,58.6,
440,Team Fortress 2,Action,Valve,0.0,Gratuito,0.8990866762177651,0.0,1161472,4.3624,58.6,"Free to Play, Hero Shooter, Multiplayer, FPS, Shooter"
743390,DISTRAINT 2,Casual,Jesse Makkonen,0.8,Ate R$15,0.9575298438934803,0.0,4356,4.3558,58.5,
1333910,Sizeable,Casual,Business Goose Studios,0.76,Ate R$15,0.9809770860354518,0.0,2313,4.3426,58.3,
805940,RUSSIA BATTLEGROUNDS,Indie,Agafonoff,0.65,Ate R$15,0.7708239531742458,0.0,4442,4.3257,58.1,
293180,Overcast - Walden and the Werewolf,Indie,Microblast Games,0.49,Ate R$15,0.6117566643882434,0.0,2926,4.3278,58.1,
1555110,Chasing Tails ~A Promise in the Snow~,Adventure,"the last evil wizard, Nupu Neko Dev",0.79,Ate R$15,0.9242540168324407,0.0,3921,4.2042,56.4,
304930,Unturned,Casual,Smartly Dressed Games,0.0,Gratuito,0.9120367035911323,0.0,555368,4.1914,56.3,
391260,Labyronia RPG,Indie,Labyrinthine,0.55,Ate R$15,0.7403921568627451,0.0,1275,4.181,56.1,
461730,Blaite,Casual,Dosane Games,0.49,Ate R$15,0.7377049180327869,0.0,549,4.1257,55.4,
698780,Doki Doki Literature Club!,Casual,Team Salvato,0.0,Gratuito,0.9645496091914748,0.0,210717,4.108,55.1,
230410,Warframe,RPG,Digital Extremes,0.0,Gratuito,0.8705353366224903,0.0,626503,4.0371,54.2,
252950,Rocket League,Indie,Psyonix LLC,0.0,Gratuito,0.8735039950618977,0.0,583220,4.0292,54.1,
319630,Life is Strange - Episode 1,Adventure,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)",0.0,Gratuito,0.9619860402716296,0.0,169201,4.0237,54.0,
1289310,Helltaker,Indie,vanripper,0.0,Gratuito,0.977561280199811,0.0,124918,3.9858,53.5,
434420,The Chosen RPG,Indie,Little Big Lee,0.55,Ate R$15,0.7044897959183674,0.0,1225,3.956,53.1,
585830,Ninja Stealth 2,Casual,SC Jogos,0.49,Ate R$15,0.6901408450704225,0.0,639,3.9524,53.0,
2755330,Chushpan Simulator,Simulation,Sebasa Games,0.74,Ate R$15,0.8570835064395513,0.0,2407,3.9167,52.6,
495890,Montaro,Casual,JCKSLAP,0.99,Ate R$15,0.9511691316202594,0.0,12103,3.9228,52.6,
397500,Labyronia RPG 2,Indie,Labyrinthine,0.55,Ate R$15,0.7581120943952803,0.0,678,3.9034,52.4,
700330,SCP: Secret Laboratory,Action,Northwood Studios,0.0,Gratuito,0.9142079893984854,0.0,214309,3.8989,52.3,
444220,Asteroid Bounty Hunter,Casual,EGAMER,0.49,Ate R$15,0.6535031847133758,0.0,785,3.8616,51.8,
359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,Indie,marbenx,0.99,Ate R$15,0.9534202283520259,0.0,9897,3.8479,51.6,
275670,Space Run,Indie,Passtech Games,0.74,Ate R$15,0.8547459252157239,0.0,2086,3.8343,51.5,
238960,Path of Exile,Indie,Grinding Gear Games,0.0,Gratuito,0.892513962678282,0.0,235091,3.8351,51.5,
346180,David.,Indie,Fermenter Games,0.59,Ate R$15,0.7853333333333333,0.0,750,3.8277,51.4,
398710,Timberman,Casual,Digital Melody,0.99,Ate R$15,0.9326040931545518,0.0,11336,3.8194,51.3,
765410,Bean Battles,Indie,Gupa Games,0.99,Ate R$15,0.9399001731689925,0.0,9817,3.79,50.9,
1782210,Crab Game,Casual,Dani,0.0,Gratuito,0.9154054568236537,0.0,152433,3.7957,50.9,
2696480,Nothing,Casual,Pixelatto,0.99,Ate R$15,0.9454643628509719,0.0,9260,3.7882,50.8,
1490130,CrashMetal - Cyberpunk,Casual,JDM4iK Games,0.49,Ate R$15,0.6558345642540621,0.0,677,3.7894,50.8,
357280,Alter World,Indie,Giorgi Abelashvili,0.49,Ate R$15,0.675,0.0,560,3.7868,50.8,
444090,Paladins,Strategy,Evil Mojo Games,0.0,Gratuito,0.8497967690904262,0.0,346404,3.766,50.5,
407230,Legend of Mysteria RPG,Indie,Labyrinthine,0.55,Ate R$15,0.7088915956151035,0.0,821,3.757,50.4,
313340,Mountain,Casual,David OReilly,0.99,Ate R$15,0.8816105399248907,0.0,16243,3.7497,50.3,
370510,Marble Mayhem: Fragile Ball,Casual,"Bimboosoft Co.,Ltd.",0.55,Ate R$15,0.6733393994540491,0.0,1099,3.7234,50.0,
273500,Over 9000 Zombies!,Indie,Loren Lemcke,0.74,Ate R$15,0.8647406434668418,0.0,1523,3.7195,49.9,
422250,ShipLord,Casual,EGAMER,0.49,Ate R$15,0.6245487364620939,0.0,831,3.722,49.9,
355970,Home is Where One Starts...,Indie,David Wehle,0.59,Ate R$15,0.7735294117647059,0.0,680,3.7144,49.8,
331470,Everlasting Summer,Casual,Soviet Games,0.0,Gratuito,0.9480626109065868,0.0,75514,3.6997,49.6,
677620,Splitgate: Arena Warfare,Indie,1047 Games,0.0,Gratuito,0.9158403436549132,0.0,111740,3.6987,49.6,
1085660,Destiny 2,Adventure,Bungie,0.0,Gratuito,0.7958412188946574,0.0,625616,3.6904,49.5,
433950,Bit Blaster XL,Casual,Adamvision Studios,0.99,Ate R$15,0.9643786597267404,0.0,6148,3.6907,49.5,
1097150,Fall Guys: Ultimate Knockout,Casual,Mediatonic,0.0,Gratuito,0.8130019863090325,0.0,473743,3.6914,49.5,
523210,A Normal Lost Phone,Casual,Accidental Queens,0.83,Ate R$15,0.8894266567386448,0.0,2686,3.6748,49.3,
2709570,Supermarket Together,Casual,DeadDevsTellNoLies,0.0,Gratuito,0.9489730851931489,0.0,67435,3.666,49.2,
1222670,The Sims 4,Casual,Maxis,0.0,Gratuito,0.873113215835808,0.0,170727,3.6547,49.0,
1836160,PANELKI,Casual,Alexander Gromyko,0.79,Ate R$15,0.8848518725544997,0.0,1789,3.6434,48.9,
291550,Brawlhalla,Indie,Blue Mammoth Games,0.0,Gratuito,0.8146050261866811,0.0,386456,3.641,48.8,
1369340,Cats Organized Neatly,Casual,DU&I,0.98,Ate R$15,0.9762012692656392,0.0,4412,3.6306,48.7,
2420510,HoloCure - Save the Fans!,Casual,KayAnimate,0.0,Gratuito,0.9904438477333755,0.0,37986,3.6287,48.7,
871720,Ultimate Custom Night,Indie,Scott Cawthon,0.0,Gratuito,0.9505946150018019,0.0,58273,3.624,48.6,
12120,Grand Theft Auto: San Andreas,Action,Rockstar Games,0.0,Gratuito,0.920451657408416,0.0,82629,3.6208,48.6,
40800,Super Meat Boy,Indie,Team Meat,1.19,Ate R$15,0.9458218290415281,0.0,35494,3.6165,48.5,
1124660,STORM AREA 51: AYY LMAO EDITION,Casual,Agafonoff,0.65,Ate R$15,0.7788746298124383,0.0,1013,3.602,48.3,
1139890,Dictators:No Peace Countryballs,Casual,RPN Indie Developer,0.99,Ate R$15,0.9417555373256767,0.0,6095,3.6006,48.3,
1969080,A Building Full of Cats,Casual,Devcats,0.99,Ate R$15,0.9895287958115183,0.0,4011,3.6016,48.3,
261570,Ori and the Blind Forest,Action,Moon Studios GmbH,0.0,Gratuito,0.9431826099073365,0.0,57412,3.5909,48.2,
211420,DARK SOULS: Prepare To Die Edition,RPG,"FromSoftware, Inc.",0.0,Gratuito,0.9147394960134123,0.0,78137,3.5806,48.0,
353550,House of Caravan,Indie,Rosebud Games,0.55,Ate R$15,0.6771752837326608,0.0,793,3.5703,47.9,
863550,HITMAN 2,Action,IO Interactive A/S,0.0,Gratuito,0.9095579306939942,0.0,74943,3.5471,47.6,
50300,Spec Ops: The Line,Adventure,YAGER,0.0,Gratuito,0.9336720756160193,0.0,54909,3.5402,47.5,
448070,Red Risk,Casual,Microblast Games,0.49,Ate R$15,0.5827107790821772,0.0,937,3.5346,47.4,
233190,Final Exam,Indie,Mighty Rocket Studio,0.74,Ate R$15,0.8431528662420382,0.0,1256,3.5314,47.4,
214170,Divine Divinity,RPG,Larian Studios,0.89,Ate R$15,0.8793884484711212,0.0,3532,3.5058,47.0,
203770,Crusader Kings II,Simulation,Paradox Development Studio,0.0,Gratuito,0.8990637998076115,0.0,73809,3.5014,47.0,
224260,No More Room in Hell,Indie,No More Room in Hell Team,0.0,Gratuito,0.8989939800412104,0.0,74253,3.503,47.0,
823130,Totally Accurate Battlegrounds,Indie,Landfall,0.0,Gratuito,0.8840045051257298,0.0,87012,3.4933,46.9,
1677740,Stumble Guys,Casual,Scopely,0.0,Gratuito,0.8502472443774363,0.0,128011,3.4739,46.6,
471710,Rec Room,Casual,Rec Room,0.0,Gratuito,0.8951602712606883,0.0,71223,3.4751,46.6,
843380,Super Animal Royale,Casual,Pixile,0.0,Gratuito,0.9362711544362358,0.0,42367,3.4657,46.5,
1419170,My Singing Monsters,Simulation,Big Blue Bubble,0.0,Gratuito,0.9386585453586245,0.0,41701,3.4694,46.5,
901583,Grand Theft Auto IV: Complete Edition,Adventure,"Rockstar North, Rockstar Toronto",0.0,Gratuito,0.8248322607147748,0.0,175272,3.4601,46.4,
1286830,STAR WARS: The Old Republic,RPG,Broadsword,0.0,Gratuito,0.8956910760536849,0.0,67952,3.4625,46.4,
223710,Cry of Fear,Indie,Team Psykskallar,0.0,Gratuito,0.8850123642619073,0.0,74408,3.4492,46.3,
615610,Orbt XL,Casual,Adamvision Studios,0.99,Ate R$15,0.9673493618284358,0.0,3369,3.4469,46.2,
588430,Fallout Shelter,Simulation,Bethesda Game Studios,0.0,Gratuito,0.884469696969697,0.0,74448,3.4472,46.2,
1080110,F1 2020,Sports,Codemasters,0.0,Gratuito,0.9360051874205053,0.0,40097,3.4468,46.2,
489520,Minion Masters,Indie,BetaDwarf,0.0,Gratuito,0.8952777135813882,0.0,64905,3.4467,46.2,
367570,oO,Indie,Maciej Targoni,0.77,Ate R$15,0.8876170655567117,0.0,961,3.4389,46.1,
363970,Clicker Heroes,Casual,Playsaurus,0.0,Gratuito,0.8969887772412893,0.0,61304,3.4355,46.1,
1597730,Dogs Organized Neatly,Casual,DU&I,0.89,Ate R$15,0.982101167315175,0.0,1285,3.431,46.0,
1919460,Seraph's Last Stand,Casual,Sad Socket,0.99,Ate R$15,0.9380767362797474,0.0,4118,3.4252,45.9,
485610,Soccer Online: Ball 3D,Sports,Unusualsoft,0.99,Ate R$15,0.8461995837875335,0.0,10091,3.4224,45.9,
878750,Hentai Girl,Casual,GirlGames,0.99,Ate R$15,0.9119718309859155,0.0,5112,3.4164,45.8,
1093910,Tales of the Black Forest,Indie,拾英工作室,1.19,Ate R$15,0.9774861977486198,0.0,13947,3.4044,45.7,
1721470,Poppy Playtime,Indie,Mob Entertainment,0.0,Gratuito,0.8503649635036497,0.0,98914,3.3982,45.6,
1335230,Sumire,Casual,GameTomo Team,0.83,Ate R$15,0.9634433962264151,0.0,848,3.3998,45.6,
603260,The Cat Games,Casual,M. Hanka,0.79,Ate R$15,0.8939393939393939,0.0,990,3.3903,45.5,
104900,ORION: Prelude,Indie,DANKIE,0.99,Ate R$15,0.7533087589959628,0.0,28485,3.3896,45.5,
438040,Shakes and Fidget,Casual,Playa Games GmbH,0.0,Gratuito,0.9246850490530976,0.0,36593,3.3758,45.3,
738060,Freddy Fazbear's Pizzeria Simulator,Indie,Scott Cawthon,0.0,Gratuito,0.939256512959714,0.0,30209,3.3664,45.2,
418190,Helen's Mysterious Castle,Casual,Satsu,0.81,Ate R$15,0.9303944315545244,0.0,862,3.3724,45.2,
225840,Sven Co-op,Casual,Sven Co-op team,0.0,Gratuito,0.9361348831268361,0.0,31316,3.3669,45.2,
6850,Hitman 2: Silent Assassin,Action,Io-Interactive A/S,0.89,Ate R$15,0.8277010947168015,0.0,4202,3.3699,45.2,"Stealth, Action, Assassins, Third Person, Classic"
205840,Yesterday,Adventure,Pendulo Studios,0.74,Ate R$15,0.8326488706365504,0.0,974,3.3632,45.1,
454060,Blueprint Tycoon,Casual,Endless Loop Studios,0.74,Ate R$15,0.8198529411764706,0.0,1088,3.3648,45.1,
346900,AdVenture Capitalist,Casual,Hyper Hippo Games,0.0,Gratuito,0.8783422911807457,0.0,59166,3.3532,45.0,
2551020,One-armed robber,Indie,Duhndal,0.0,Gratuito,0.9138865936789919,0.0,38728,3.3544,45.0,
3399950,Your Mother,Casual,M for Mother,0.99,Ate R$15,0.9117714285714286,0.0,4375,3.3534,45.0,
380600,Fishing Planet,Sports,Fishing Planet LLC,0.0,Gratuito,0.867653997777744,0.0,65699,3.344,44.9,
1393350,Swaying Girl,Casual,Wet Girl,0.99,Ate R$15,0.8906403940886699,0.0,5075,3.3336,44.7,
265630,Fistful of Frags,Indie,Fistful of Frags Team,0.0,Gratuito,0.9136285919144007,0.0,36262,3.3325,44.7,
1468260,Leaf Blower Revolution - Idle Game,Casual,Humble North,0.0,Gratuito,0.9434999209236122,0.0,25292,3.3234,44.6,
424280,Iron Snout,Indie,SnoutUp,0.0,Gratuito,0.9774587801222184,0.0,17346,3.3149,44.5,
312990,The Expendabros,Indie,Free Lives,0.0,Gratuito,0.9717728623308023,0.0,18174,3.3114,44.4,
563560,Alien Swarm: Reactive Drop,Action,Reactive Drop Team,0.0,Gratuito,0.9492692834120712,0.0,22649,3.3073,44.4,
12110,Grand Theft Auto: Vice City,Action,Rockstar Games,0.0,Gratuito,0.9271075283508676,0.0,29276,3.3128,44.4,
1232180,Sakuya Izayoi Gives You Advice And Dabs,Casual,Sigyaad Team,0.99,Ate R$15,0.9755778456170955,0.0,2293,3.3116,44.4,
1395560,Kandidatos,Indie,Shaikonina Games,0.99,Ate R$15,0.9027743677878713,0.0,4073,3.292,44.2,
449540,There's Poop In My Soup,Casual,K Bros Games,0.99,Ate R$15,0.89049955396967,0.0,4484,3.2847,44.1,
1148510,Pretty Angel,Casual,GirlGames,0.99,Ate R$15,0.9166666666666666,0.0,3552,3.2876,44.1,
2555320,Summon,Indie,Goosix Games,0.99,Ate R$15,0.9296626352641629,0.0,3142,3.2842,44.0,
630,Alien Swarm,Action,Valve,0.0,Gratuito,0.9485287205039015,0.0,21274,3.2841,44.0,"Free to Play, Co-op, Action, Multiplayer, Online Co-Op"
1086640,Dude Simulator 3,Indie,Kiddy,0.69,Ate R$15,0.6817532158170557,0.0,2099,3.2825,44.0,
1506830,FIFA 22,Sports,EA Canada &amp; EA Romania,0.0,Gratuito,0.8049325313764261,0.0,120871,3.2727,43.9,
1101450,Miss Neko,Casual,Double W,0.99,Ate R$15,0.890495867768595,0.0,4356,3.2734,43.9,
1263850,Football Manager 2021,Sports,Sports Interactive,0.0,Gratuito,0.9348117154811716,0.0,23900,3.2744,43.9,
1212620,Pretty Neko,Casual,GirlGames,0.99,Ate R$15,0.9296696107294733,0.0,3057,3.273,43.9,
105450,Age of Empires III (2007),Simulation,Ensemble Studios,0.0,Gratuito,0.9090795592871188,0.0,32039,3.2768,43.9,
689910,Another Lost Phone: Laura's Story,Casual,Accidental Queens,0.83,Ate R$15,0.9101479915433404,0.0,946,3.2638,43.8,
1046930,Dota Underlords,Casual,Valve,0.0,Gratuito,0.8224195216405923,0.0,90894,3.2624,43.8,
1407200,World of Tanks,Simulation,Wargaming Group Limited,0.0,Gratuito,0.8261988250831094,0.0,87836,3.2676,43.8,
412220,DDraceNetwork,Indie,DDNet Team,0.0,Gratuito,0.8929238985313752,0.0,37450,3.267,43.8,
1170880,Grimm's Hollow,Indie,ghosthunter,0.0,Gratuito,0.9860260750558236,0.0,13883,3.2677,43.8,
1275670,Outcore: Desktop Adventure,Indie,Doctor Shinobi,0.0,Gratuito,0.9733456488751072,0.0,15157,3.2554,43.7,
232010,Euro Truck Simulator,Indie,SCS Software,0.99,Ate R$15,0.8356878343162804,0.0,7291,3.2607,43.7,
1363850,THE IMPOSSIBLE,Casual,"IMPOSSIBLE INC, Airem",0.74,Ate R$15,0.888671875,0.0,512,3.2546,43.7,
1008710,Wet Girl,Casual,Wet Girl,0.99,Ate R$15,0.8628456326680095,0.0,5461,3.2573,43.7,
438100,VRChat,Casual,VRChat Inc.,0.0,Gratuito,0.7556447754363338,0.0,240355,3.2528,43.6,
491280,Drift Horizon Online,Sports,JDM4iK Games,0.49,Ate R$15,0.5406320541760722,0.0,886,3.2525,43.6,
444200,World of Tanks Blitz,Simulation,Wargaming Group Limited,0.0,Gratuito,0.7856790923387396,0.0,148161,3.25,43.6,
2707900,NIGHT-RUNNERS PROLOGUE,Simulation,PLANET JEM,0.0,Gratuito,0.9519956557154493,0.0,18415,3.2484,43.6,
34870,Sniper: Ghost Warrior 2,Action,City Interactive,0.99,Ate R$15,0.7553583389149364,0.0,17916,3.2452,43.5,
444640,Bloons TD Battles,Strategy,Ninja Kiwi,0.0,Gratuito,0.9078223810833104,0.0,29096,3.2419,43.5,
1787820,Mirror Party,Casual,KAGAMI Ⅱ WORKs,0.59,Ate R$15,0.6078571428571429,0.0,1400,3.2417,43.5,
463150,BARRIER X,Indie,Noclip,0.89,Ate R$15,0.8559724018973696,0.0,2319,3.2368,43.4,
1129190,Our Life: Beginnings & Always,Casual,GB Patch Games,0.0,Gratuito,0.9882749759074847,0.0,12452,3.2378,43.4,
310560,DiRT Rally,Sports,"Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)",0.0,Gratuito,0.8791183936065945,0.0,39791,3.235,43.4,
1853200,TYRONE vs COPS,Indie,Team SNEED,0.99,Ate R$15,0.9446911586596689,0.0,2477,3.2388,43.4,
9450,"Warhammer 40,000: Dawn of War - Soulstorm",Strategy,Relic Entertainment,0.0,Gratuito,0.9519050593379138,0.0,17611,3.2333,43.4,"Strategy, RTS, Base Building, Sci-fi, Multiplayer"
582500,We Were Here,Indie,Total Mayhem Games,0.0,Gratuito,0.9005567223389006,0.0,29997,3.2255,43.3,
504370,Battlerite,Action,Stunlock Studios,0.0,Gratuito,0.8457909280851924,0.0,59348,3.2298,43.3,
880580,YORG.io,Casual,Tobias Springer,0.79,Ate R$15,0.9013452914798207,0.0,669,3.2244,43.2,
1172470,Apex Legends,Adventure,Respawn,0.0,Gratuito,0.6714242210137098,0.0,994979,3.2217,43.2,
250600,The Plan,Casual,Krillbite Studio,0.0,Gratuito,0.9227703902629185,0.0,23087,3.2211,43.2,
58570,The Next BIG Thing,Adventure,Pendulo Studios,0.74,Ate R$15,0.8411764705882353,0.0,680,3.2205,43.2,
243930,Bound By Flame,RPG,Spiders,0.76,Ate R$15,0.6815437122604359,0.0,3809,3.2113,43.1,
1173010,Flowers Blooming at the End of Summer,Casual,MidnightWorks,0.99,Ate R$15,0.9578745811393011,0.0,2089,3.2124,43.1,
1100600,Football Manager 2020,Sports,Sports Interactive,0.0,Gratuito,0.8928548925713565,0.0,31742,3.2155,43.1,
812810,missed messages.,Casual,Angela He,0.0,Gratuito,0.961042379573572,0.0,15196,3.2151,43.1,
1569040,Football Manager 2022,Sports,Sports Interactive,0.0,Gratuito,0.9254892823858341,0.0,21460,3.2071,43.0,
386360,SMITE,Casual,Titan Forge Games,0.0,Gratuito,0.7877391565661624,0.0,119796,3.2004,42.9,
1536610,OpenTTD,Casual,OpenTTD,0.0,Gratuito,0.9618591079616506,0.0,14394,3.1997,42.9,
1587560,100 hidden cats,Casual,"Anatoliy Loginovskikh, Аlexandr Telminov",0.99,Ate R$15,0.9454870420017873,0.0,2238,3.1994,42.9,
208090,Loadout,Indie,Edge of Reality,0.0,Gratuito,0.8704212454212454,0.0,39312,3.1993,42.9,
202170,Sleeping Dogs,Adventure,United Front Games,0.0,Gratuito,0.9443924139545774,0.0,17084,3.1978,42.9,
417860,Emily is Away,Casual,Kyle Seeley,0.0,Gratuito,0.8860045146726863,0.0,31896,3.1923,42.8,
